EV,W_pct,P_pct,Team,Team_Result,14,14_spread,15,15_spread,16,16_spread,17,17_spread,Future_Val
1.08,88.9,15.4,PIT,W,CLE,-14.0,@SF,3.0,STL,-10.0,@CLE,-7.0,0.68440114976065
1.06,85.4,3.4,GB,W,OAK,-11.5,@KC,-10.5,CHI,-13.0,DET,6.5,0.85456680819008
1.05,90.5,36.6,BAL,W,IND,-16.5,@SD,-1.0,CLE,-11.0,@CIN,-2.5,0.53530421050558
1.01,82.6,9.8,NYJ,W,KC,-10.5,@PHI,3.0,NYG,-1.5,@MIA,2.0,0.072168696371977
0.99,81.3,11.0,DET,W,MIN,-10.0,@OAK,-1.0,SD,1.0,@GB,-6.5,0.35608464228007
0.92,74.6,2.2,NE,W,@WAS,-7.0,@DEN,-7.0,MIA,-7.0,BUF,-10.0,1.0
0.92,73.8,1.2,SD,W,BUF,-7.0,BAL,1.0,@DET,-1.0,@OAK,2.5,0.021292573655391
0.92,77.1,14.2,SEA,W,STL,-9.0,@CHI,3.5,SF,1.5,@ARI,2.5,0.0
0.83,66.6,0.2,DAL,L,NYG,-4.5,@TB,-7.0,PHI,1.0,@NYG,3.0,0.31600665957634
0.78,62.7,1.5,NO,W,@TEN,-3.5,@MIN,-7.0,ATL,-7.0,CAR,-7.0,0.87302045148393
0.76,61.4,1.3,SF,L,@ARI,-3.5,PIT,-3.0,@SEA,-1.5,@STL,-12.5,0.63105606240294
0.75,60.8,1.4,DEN,W,CHI,-3.5,NE,7.0,@BUF,-3.0,KC,-1.0,0.13777859226897
0.72,57.9,0.1,TB,L,@JAX,-3.0,DAL,7.0,@CAR,9.0,@ATL,10.0,0.0
0.72,57.8,0.3,ATL,W,@CAR,-3.0,JAX,-13.5,@NO,7.0,TB,-10.0,0.82056394220348
0.71,56.6,0.3,MIA,L,PHI,-3.0,@BUF,-1.0,@NE,7.0,NYJ,-2.0,0.05172941457352
0.7,56.1,0.1,CIN,L,HOU,-2.5,@STL,-7.0,ARI,-4.5,BAL,2.5,0.50464587547271
0.55,43.9,0.3,HOU,W,@CIN,2.5,CAR,-6.0,@IND,-7.0,TEN,1.0,0.52333310621618
0.54,43.4,0.1,PHI,W,@MIA,3.0,NYJ,-3.0,@DAL,-1.0,WAS,-7.0,0.48262241155304
0.53,42.2,0.1,CAR,L,ATL,3.0,@HOU,6.0,TB,-9.0,@NO,7.0,0.3189763972277
0.53,42.1,0.0,JAX,W,TB,3.0,@ATL,13.5,@TEN,8.0,IND,-3.0,0.12344265219524
0.5,39.2,0.1,CHI,L,@DEN,3.5,SEA,-3.5,@GB,13.0,@MIN,1.5,0.17564033213899
0.49,38.6,0.0,ARI,W,SF,3.5,CLE,-6.0,@CIN,4.5,SEA,-2.5,0.30967139781223
0.47,37.3,0.0,TEN,L,NO,3.5,@IND,-6.5,JAX,-8.0,@HOU,-1.0,0.66070795607689
0.42,33.4,0.2,NYG,W,@DAL,4.5,WAS,-5.5,@NYJ,1.5,DAL,-3.0,0.35316798420077
0.33,22.9,0.0,STL,L,@SEA,9.0,CIN,7.0,@PIT,10.0,SF,12.5,0.0
0.33,26.2,0.0,BUF,L,@SD,7.0,MIA,1.0,DEN,3.0,@NE,10.0,0.0
0.32,25.4,0.0,WAS,L,NE,7.0,@NYG,5.5,MIN,-6.0,@PHI,7.0,0.23285749105047
0.26,18.7,0.0,MIN,L,@DET,10.0,NO,7.0,@WAS,6.0,CHI,-1.5,0.085875498739155
0.24,17.4,0.0,KC,L,@NYJ,10.5,GB,10.5,OAK,-2.5,@DEN,1.0,0.095494596977782
0.2,9.5,0.0,IND,L,@BAL,16.5,TEN,6.5,HOU,7.0,@JAX,3.0,0.0
0.19,14.6,0.1,OAK,L,@GB,11.5,DET,1.0,@KC,2.5,SD,-2.5,0.068830014986382
0.17,11.1,0.0,CLE,L,@PIT,14.0,@ARI,6.0,@BAL,11.0,PIT,7.0,0.0
